DATE,USSTHPI
1975-01-01,59.79
1975-04-01,61.10
1975-07-01,61.26
1975-10-01,62.43
1976-01-01,62.83
1976-04-01,65.47
1976-07-01,66.58
1976-10-01,67.28
1977-01-01,69.44
1977-04-01,72.66
1977-07-01,74.37
1977-10-01,77.21
1978-01-01,79.52
1978-04-01,82.72
1978-07-01,85.21
1978-10-01,87.47
1979-01-01,91.39
1979-04-01,94.35
1979-07-01,96.42
1979-10-01,98.24
1980-01-01,100.00
1980-04-01,101.56
1980-07-01,104.49
1980-10-01,104.76
1981-01-01,105.32
1981-04-01,107.42
1981-07-01,109.25
1981-10-01,109.14
1982-01-01,110.95
1982-04-01,111.89
1982-07-01,110.85
1982-10-01,112.25
1983-01-01,114.25
1983-04-01,115.45
1983-07-01,116.41
1983-10-01,117.05
1984-01-01,118.83
1984-04-01,120.39
1984-07-01,121.50
1984-10-01,122.49
1985-01-01,124.22
1985-04-01,126.10
1985-07-01,128.09
1985-10-01,129.50
1986-01-01,131.98
1986-04-01,134.73
1986-07-01,136.78
1986-10-01,138.88
1987-01-01,141.62
1987-04-01,143.82
1987-07-01,145.46
1987-10-01,146.39
1988-01-01,148.68
1988-04-01,151.64
1988-07-01,153.20
1988-10-01,154.62
1989-01-01,156.39
1989-04-01,158.56
1989-07-01,161.93
1989-10-01,163.27
1990-01-01,164.19
1990-04-01,164.86
1990-07-01,165.85
1990-10-01,165.21
1991-01-01,166.58
1991-04-01,167.71
1991-07-01,167.99
1991-10-01,170.36
1992-01-01,171.68
1992-04-01,171.64
1992-07-01,173.61
1992-10-01,174.48
1993-01-01,174.55
1993-04-01,176.21
1993-07-01,177.63
1993-10-01,179.10
1994-01-01,180.24
1994-04-01,181.34
1994-07-01,182.08
1994-10-01,181.92
1995-01-01,182.89
1995-04-01,185.88
1995-07-01,188.73
1995-10-01,190.22
1996-01-01,192.36
1996-04-01,192.70
1996-07-01,193.56
1996-10-01,195.07
1997-01-01,196.69
1997-04-01,198.34
1997-07-01,201.07
1997-10-01,203.68
1998-01-01,206.71
1998-04-01,208.58
1998-07-01,211.48
1998-10-01,213.99
1999-01-01,216.24
1999-04-01,219.15
1999-07-01,222.25
1999-10-01,224.54
2000-01-01,228.83
2000-04-01,232.56
2000-07-01,236.79
2000-10-01,240.44
2001-01-01,246.37
2001-04-01,250.50
2001-07-01,254.38
2001-10-01,257.53
2002-01-01,261.24
2002-04-01,265.67
2002-07-01,270.94
2002-10-01,274.78
2003-01-01,278.13
2003-04-01,281.51
2003-07-01,285.83
2003-10-01,293.91
2004-01-01,298.50
2004-04-01,305.73
2004-07-01,317.43
2004-10-01,324.20
2005-01-01,331.67
2005-04-01,342.26
2005-07-01,352.58
2005-10-01,360.57
2006-01-01,366.30
2006-04-01,370.04
2006-07-01,373.11
2006-10-01,376.91
2007-01-01,378.28
2007-04-01,378.03
2007-07-01,373.82
2007-10-01,372.67
2008-01-01,370.00
2008-04-01,360.72
2008-07-01,349.41
2008-10-01,346.23
2009-01-01,348.79
2009-04-01,339.55
2009-07-01,330.57
2009-10-01,328.13
2010-01-01,324.19
2010-04-01,321.30
2010-07-01,324.36
2010-10-01,322.01
2011-01-01,313.16
2011-04-01,307.74
2011-07-01,310.08
2011-10-01,311.44
2012-01-01,308.18
2012-04-01,306.95
2012-07-01,310.91
2012-10-01,313.44
2013-01-01,315.08
2013-04-01,320.07
2013-07-01,325.17
2013-10-01,328.03
2014-01-01,330.95
2014-04-01,337.36
2014-07-01,342.30
2014-10-01,345.17
2015-01-01,348.63
2015-04-01,354.93
2015-07-01,360.56
2015-10-01,363.90
2016-01-01,367.47
2016-04-01,374.82
2016-07-01,381.46
2016-10-01,385.06
2017-01-01,388.90
2017-04-01,399.51
2017-07-01,405.46
