1,"BTC
Bitcoin",BTC,"$186,851,799,628",$11177.76,"16,716,397","$4,826,067,051",0.25%,0.53%,24.97%
2,"ETH
Ethereum",ETH,"$44,944,331,325",$467.68,"96,101,457","$822,953,290",0.21%,-0.40%,1.59%
3,"BCH
Bitcoin Cash",BCH,"$25,832,963,828",$1534.47,"16,835,069","$845,126,154",0.90%,4.33%,-3.35%
4,"XRP
Ripple",XRP,"$9,850,343,117",$0.255039,"38,622,870,411
                        
                        
                            *","$98,706,810",0.11%,-0.78%,1.75%
5,"DASH
Dash",DASH,"$6,002,924,814",$777.05,"7,725,321","$165,747,716",0.11%,-1.30%,22.61%
6,"LTC
Litecoin",LTC,"$5,443,078,362",$100.61,"54,101,549","$329,120,276",0.14%,-0.62%,16.19%
7,"BTG
Bitcoin Gold",BTG,"$5,096,157,148",$305.43,"16,685,244","$98,241,365",0.90%,-1.52%,-13.27%
8,"MIOTA
IOTA",MIOTA,"$4,123,969,793",$1.48,"2,779,530,283
                        
                        
                            *","$113,598,135",0.99%,5.93%,86.85%
9,"ADA
Cardano",ADA,"$3,391,457,491",$0.130808,"25,927,070,538
                        
                        
                            *","$51,419,307",0.08%,-2.77%,325.46%
10,"XMR
Monero",XMR,"$3,121,065,702",$202.28,"15,429,762","$100,557,334",0.12%,5.76%,23.75%
11,"ETC
Ethereum Classic",ETC,"$3,010,737,307",$30.71,"98,027,415","$520,429,094",0.06%,-3.47%,40.98%
12,"XEM
NEM",XEM,"$2,447,172,663",$0.271908,"8,999,999,999
                        
                        
                            *","$34,211,960",0.81%,8.62%,27.84%
13,"NEO
NEO",NEO,"$2,332,982,375",$35.89,"65,000,000
                        
                        
                            *","$46,714,489",0.48%,-0.02%,-5.32%
14,"EOS
EOS",EOS,"$2,028,749,113",$3.94,"514,717,161
                        
                        
                            *","$171,668,749",-0.08%,15.27%,99.08%
15,"XLM
Stellar Lumens",XLM,"$1,650,120,853",$0.092897,"17,762,891,469
                        
                        
                            *","$60,940,205",-0.27%,-2.88%,105.84%
16,"BCC
BitConnect",BCC,"$1,029,944,649",$323.30,"3,185,692","$14,716,206",0.21%,1.33%,6.07%
17,"OMG
OmiseGO",OMG,"$986,340,527",$9.67,"102,042,552
                        
                        
                            *","$54,530,223",0.47%,7.00%,14.49%
18,"QTUM
Qtum",QTUM,"$959,414,683",$13.02,"73,696,328
                        
                        
                            *","$98,177,841",0.31%,-1.68%,-9.39%
19,"LSK
Lisk",LSK,"$917,524,660",$7.94,"115,533,469
                        
                        
                            *","$19,974,243",0.45%,2.90%,0.64%
20,"ZEC
Zcash",ZEC,"$909,625,405",$330.55,"2,751,830","$64,563,358",0.24%,-1.95%,-3.72%
21,"USDT
Tether",USDT,"$814,931,810",$1.00,"814,017,348
                        
                        
                            *","$626,904,552",0.00%,-0.07%,-0.33%
22,"HSR
Hshare",HSR,"$795,423,440",$18.79,"42,324,499","$67,022,966",0.48%,11.72%,-2.87%
23,"WAVES
Waves",WAVES,"$612,202,398",$6.12,"100,000,000
                        
                        
                            *","$29,285,048",0.28%,-1.30%,12.25%
24,"STRAT
Stratis",STRAT,"$609,300,138",$6.18,"98,645,728
                        
                        
                            *","$16,700,085",0.62%,5.78%,32.39%
25,"PPT
Populous",PPT,"$527,557,833",$12.79,"41,252,246
                        
                        
                            *","$1,173,694",0.35%,3.31%,12.99%
26,"ARDR
Ardor",ARDR,"$456,897,504",$0.457355,"998,999,495
                        
                        
                            *","$13,242,750",0.64%,21.19%,65.16%
27,"MONA
MonaCoin",MONA,"$400,471,546",$7.18,"55,746,413","$14,354,383",0.15%,8.22%,62.27%
